clusterId,conceptName,ingredient,family,candidateProducts,policyClass,selectedProductId,selectionReason,allowedContext,blocker
"dcluster_2dbd8026e4ec49c120d7d861","Творожная запеканка с манкой и сметаной","Яйцо","яйцо","egg_boiled|egg_fried|egg_raw|quail_egg_raw","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_2dbd8026e4ec49c120d7d861","Творожная запеканка с манкой и сметаной","Молоко","молоко","milk_1pct|milk_2_5pct|milk_3_2pct|step092_milk","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_2dbd8026e4ec49c120d7d861","Творожная запеканка с манкой и сметаной","Соль","соль","beans_boiled|beans_canned_drained|beans_white_dry|green_beans_raw|salt_table","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_2dbd8026e4ec49c120d7d861","Творожная запеканка с манкой и сметаной","Соль","соль","beans_boiled|beans_canned_drained|beans_white_dry|green_beans_raw|salt_table","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_debfa1e7f6da282a21155820","Каша пшенная в кастрюле на молоке","Молоко","молоко","milk_1pct|milk_2_5pct|milk_3_2pct|step092_milk","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_debfa1e7f6da282a21155820","Каша пшенная в кастрюле на молоке","Пшено","пшено","millet_boiled|millet_dry","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_debfa1e7f6da282a21155820","Каша пшенная в кастрюле на молоке","Соль","соль","beans_boiled|beans_canned_drained|beans_white_dry|green_beans_raw|salt_table","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_debfa1e7f6da282a21155820","Каша пшенная в кастрюле на молоке","Пшено","пшено","millet_boiled|millet_dry","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_debfa1e7f6da282a21155820","Каша пшенная в кастрюле на молоке","Молоко","молоко","milk_1pct|milk_2_5pct|milk_3_2pct|step092_milk","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_debfa1e7f6da282a21155820","Каша пшенная в кастрюле на молоке","Пшено","пшено","millet_boiled|millet_dry","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_debfa1e7f6da282a21155820","Каша пшенная в кастрюле на молоке","Молоко","молоко","milk_1pct|milk_2_5pct|milk_3_2pct|step092_milk","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_debfa1e7f6da282a21155820","Каша пшенная в кастрюле на молоке","Пшено","пшено","millet_boiled|millet_dry","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_debfa1e7f6da282a21155820","Каша пшенная в кастрюле на молоке","Молоко","молоко","milk_1pct|milk_2_5pct|milk_3_2pct|step092_milk","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_debfa1e7f6da282a21155820","Каша пшенная в кастрюле на молоке","Пшено","пшено","millet_boiled|millet_dry","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_debfa1e7f6da282a21155820","Каша пшенная в кастрюле на молоке","или","","basil_dried|chili_powder","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_debfa1e7f6da282a21155820","Каша пшенная в кастрюле на молоке","Молоко","молоко","milk_1pct|milk_2_5pct|milk_3_2pct|step092_milk","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_debfa1e7f6da282a21155820","Каша пшенная в кастрюле на молоке","Соль","соль","beans_boiled|beans_canned_drained|beans_white_dry|green_beans_raw|salt_table","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_debfa1e7f6da282a21155820","Каша пшенная в кастрюле на молоке","Пшено","пшено","millet_boiled|millet_dry","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_debfa1e7f6da282a21155820","Каша пшенная в кастрюле на молоке","Молоко","молоко","milk_1pct|milk_2_5pct|milk_3_2pct|step092_milk","RESEARCH_CONFLICT","","multiple semantically valid products remain; no arbitrary variant is selected","none; conflict resolution only","accepted material research conflict remains fail-closed"
"dcluster_373bb4326fab32d1fd0f4cf4","Сырники без яиц с манкой","Яйцо","яйцо","egg_boiled|egg_fried|egg_raw|quail_egg_raw","OWNER_DESIGN_POLICY_REQUIRED","","multiple semantically valid products remain; no arbitrary variant is selected","new-recipe-synthesis after explicit owner decision","multiple materially different valid variants; no owner-approved design choice"
"dcluster_373bb4326fab32d1fd0f4cf4","Сырники без яиц с манкой","Яйцо","яйцо","egg_boiled|egg_fried|egg_raw|quail_egg_raw","OWNER_DESIGN_POLICY_REQUIRED","","multiple semantically valid products remain; no arbitrary variant is selected","new-recipe-synthesis after explicit owner decision","multiple materially different valid variants; no owner-approved design choice"
"dcluster_373bb4326fab32d1fd0f4cf4","Сырники без яиц с манкой","Яйцо","яйцо","egg_boiled|egg_fried|egg_raw|quail_egg_raw","OWNER_DESIGN_POLICY_REQUIRED","","multiple semantically valid products remain; no arbitrary variant is selected","new-recipe-synthesis after explicit owner decision","multiple materially different valid variants; no owner-approved design choice"
"dcluster_b0fa5e075d9cfef5676aed33","Пышные сырники с манкой","Яйцо куриное","яйцо","egg_boiled|egg_fried|egg_raw|quail_egg_raw","OWNER_DESIGN_POLICY_REQUIRED","","multiple semantically valid products remain; no arbitrary variant is selected","new-recipe-synthesis after explicit owner decision","multiple materially different valid variants; no owner-approved design choice"
"dcluster_b0fa5e075d9cfef5676aed33","Пышные сырники с манкой","Яйцо","яйцо","egg_boiled|egg_fried|egg_raw|quail_egg_raw","OWNER_DESIGN_POLICY_REQUIRED","","multiple semantically valid products remain; no arbitrary variant is selected","new-recipe-synthesis after explicit owner decision","multiple materially different valid variants; no owner-approved design choice"
"dcluster_b0fa5e075d9cfef5676aed33","Пышные сырники с манкой","Яйцо","яйцо","egg_boiled|egg_fried|egg_raw|quail_egg_raw","OWNER_DESIGN_POLICY_REQUIRED","","multiple semantically valid products remain; no arbitrary variant is selected","new-recipe-synthesis after explicit owner decision","multiple materially different valid variants; no owner-approved design choice"
"dcluster_b0fa5e075d9cfef5676aed33","Пышные сырники с манкой","Творог жирностью 5%","","butter_72pct|cottage_cheese_5pct|hard_cheese_45pct|kefir_2_5pct|milk_2_5pct|sour_cream_15pct|step092_milk","PARSER_OR_IDENTITY_REMEDIATION","","multiple semantically valid products remain; no arbitrary variant is selected","none; repair source identity/qualifier mapping first","explicit source identity is not represented safely by current family candidates"
"dcluster_b0fa5e075d9cfef5676aed33","Пышные сырники с манкой","Яйцо","яйцо","egg_boiled|egg_fried|egg_raw|quail_egg_raw","OWNER_DESIGN_POLICY_REQUIRED","","multiple semantically valid products remain; no arbitrary variant is selected","new-recipe-synthesis after explicit owner decision","multiple materially different valid variants; no owner-approved design choice"
"dcluster_b0fa5e075d9cfef5676aed33","Пышные сырники с манкой","Яйцо","яйцо","egg_boiled|egg_fried|egg_raw|quail_egg_raw","OWNER_DESIGN_POLICY_REQUIRED","","multiple semantically valid products remain; no arbitrary variant is selected","new-recipe-synthesis after explicit owner decision","multiple materially different valid variants; no owner-approved design choice"
